terminal,time,cpu,memory
st,00.40,172,7568
st,00.38,167,7476
st,00.38,169,7676
st,00.39,169,7748
st,00.40,171,7556
st,00.38,170,7568
st,00.38,171,7428
st,00.38,169,7560
st,00.38,169,7472
st,00.38,171,7428
st,00.38,169,7676
st,00.40,169,7420
st,00.40,172,7456
st,00.40,169,7560
st,00.39,170,7680
st,00.39,171,7572
st,00.38,170,7564
st,00.39,171,7596
st,00.39,169,7716
st,00.39,172,7384
st,00.41,172,7680
st,00.39,170,7584
st,00.39,170,7584
st,00.38,170,7564
st,00.39,169,7692
st,00.39,171,7680
st,00.39,168,7740
st,00.41,169,7684
st,00.40,170,7480
st,00.38,172,7456
st,00.38,168,7740
st,00.37,170,7540
st,00.41,171,7688
st,00.38,169,7452
st,00.39,169,7740
st,00.39,172,7568
st,00.38,168,7684
st,00.40,169,7460
st,00.38,170,7384
st,00.39,169,7680
st,00.39,169,7412
st,00.39,169,7564
st,00.39,170,7520
st,00.38,170,7472
st,00.39,171,7428
st,00.38,172,7456
st,00.39,169,7564
st,00.40,171,7472
st,00.40,170,7500
st,00.40,172,7560
st,00.39,170,7408
st,00.39,171,7432
st,00.39,171,7496
urxvt,00.37,174,14696
urxvt,00.38,174,14896
urxvt,00.38,171,14880
urxvt,00.38,174,14716
urxvt,00.37,175,14700
urxvt,00.38,172,14928
urxvt,00.37,175,14820
urxvt,00.38,170,14964
urxvt,00.39,176,14756
urxvt,00.39,171,14952
urxvt,00.38,173,14948
urxvt,00.38,172,14960
urxvt,00.37,171,14920
urxvt,00.39,175,14856
urxvt,00.37,176,14944
urxvt,00.38,175,14772
urxvt,00.38,177,14640
urxvt,00.38,173,14900
urxvt,00.38,174,14908
urxvt,00.39,174,14948
urxvt,00.38,173,14832
urxvt,00.37,175,14876
urxvt,00.36,176,14816
urxvt,00.38,171,14884
urxvt,00.39,174,14976
urxvt,00.39,173,14640
urxvt,00.38,175,14852
urxvt,00.39,176,14956
urxvt,00.38,173,14896
urxvt,00.38,174,14964
urxvt,00.38,175,14884
urxvt,00.38,174,14936
urxvt,00.39,175,14856
urxvt,00.38,173,14864
urxvt,00.39,174,14836
urxvt,00.37,174,14852
urxvt,00.39,172,14900
urxvt,00.39,175,14748
urxvt,00.38,171,14908
urxvt,00.38,175,14920
urxvt,00.36,172,14948
urxvt,00.39,171,14872
urxvt,00.38,176,14880
urxvt,00.38,174,14728
urxvt,00.39,169,14864
urxvt,00.37,174,14848
urxvt,00.37,172,14712
urxvt,00.39,170,14916
urxvt,00.38,171,14860
urxvt,00.39,175,14880
urxvt,00.38,174,14656
urxvt,00.38,173,14868
urxvt,00.38,175,14920
urxvt,00.37,176,14692
urxvt,00.38,170,14956
urxvt,00.39,175,14848
urxvt,00.37,175,14892
urxvt,00.38,173,14804
urxvt,00.37,173,14900
urxvt,00.38,174,14824
urxvt,00.38,176,14916
urxvt,00.37,174,14924
urxvt,00.38,172,14800
urxvt,00.38,174,14836
urxvt,00.37,174,14624
urxvt,00.40,173,14648
urxvt,00.40,172,14672
urxvt,00.38,175,14900
urxvt,00.39,175,14820
urxvt,00.38,171,14852
urxvt,00.37,175,14856
urxvt,00.38,177,14836
urxvt,00.38,173,14748
urxvt,00.39,176,14836
urxvt,00.37,175,14928
urxvt,00.38,175,14884
urxvt,00.38,174,14840
urxvt,00.38,171,14936
urxvt,00.37,176,14904
urxvt,00.37,175,14928
urxvt,00.39,173,14648
urxvt,00.38,174,14900
