xterm,mlterm,kterm,mrxvt,xvt,konsole,urxvt,st,alacritty,putty,"xfce4","gnome",terminator
9.00,7.61,15.09,9.82,11.88,19.74,23.61,23.70,26.71,29.08,35.29,32.89,32.51
14.62,15.12,13.98,12.91,12.14,20.65,24.15,24.54,10.26,28.60,31.39,32.58,33.83
13.17,13.14,3.55,8.81,12.84,19.99,23.52,23.83,30.35,28.18,30.83,34.10,33.50
8.51,15.00,14.33,20.00,11.30,21.43,25.31,25.99,24.57,24.84,31.79,32.20,33.70
14.24,8.53,4.73,19.89,12.57,21.30,24.46,26.53,30.89,24.65,31.61,33.91,32.52
9.96,14.63,13.30,16.38,11.79,20.83,23.49,22.76,24.18,24.96,32.09,34.42,33.26
4.10,11.16,9.21,12.95,12.29,21.74,23.35,21.28,26.07,25.41,33.14,32.31,32.44
5.34,4.74,14.49,13.97,11.68,20.68,25.96,20.86,16.03,27.71,31.20,33.37,34.14
6.37,13.92,14.92,13.88,10.39,20.39,23.67,25.08,26.36,27.86,31.88,32.26,32.70
14.46,13.18,13.54,12.56,10.74,20.27,25.25,24.42,26.04,28.53,28.88,34.67,33.29
14.73,14.33,14.30,12.37,13.39,21.58,20.25,22.65,24.57,25.47,31.05,32.77,31.87
8.37,14.08,14.73,13.53,11.04,20.55,25.00,22.89,16.47,24.64,29.50,33.45,32.43
6.56,11.89,12.15,6.97,10.92,20.85,23.97,29.17,29.92,28.57,33.56,33.83,33.34
14.55,5.09,13.16,14.37,18.44,24.64,21.10,24.37,25.48,29.51,33.58,29.65,33.82
8.16,11.80,4.93,13.43,17.70,22.12,24.71,26.61,28.72,27.40,29.60,33.45,34.19
8.97,13.72,4.43,20.26,14.11,20.51,24.76,23.70,27.72,28.17,31.71,29.57,31.78
6.81,8.29,6.94,20.00,10.25,17.09,20.70,25.82,29.81,27.28,29.60,35.18,30.11
8.59,4.02,13.33,13.89,9.38,22.38,23.33,23.44,29.83,27.62,30.67,30.94,33.64
5.57,13.99,12.51,13.25,10.35,20.90,27.01,23.74,22.60,26.81,33.45,29.55,33.33
14.00,4.69,12.96,12.87,10.66,19.88,20.86,25.68,24.43,27.90,33.07,32.45,33.23
8.98,14.58,14.31,9.93,12.00,23.36,24.14,21.94,11.80,27.94,33.94,34.07,32.79
9.74,14.12,13.11,13.59,11.16,17.24,23.25,23.87,30.91,29.49,34.79,32.73,34.84
4.18,13.14,13.99,6.73,12.78,20.91,20.50,25.88,25.65,25.27,29.97,33.54,34.36
5.29,13.89,13.49,9.60,12.72,20.86,22.41,25.67,28.98,24.91,30.33,33.56,32.07
9.30,4.50,13.48,7.27,19.49,21.35,25.79,18.78,25.46,29.46,32.43,31.60,31.43
7.02,7.87,13.64,21.48,12.72,18.09,20.80,22.71,16.02,27.71,33.62,34.41,29.59
13.98,14.18,13.94,3.95,11.15,23.08,23.88,21.10,28.48,28.50,32.90,29.73,32.93
14.46,14.22,8.83,17.74,20.20,22.54,25.54,23.56,26.69,24.95,29.97,31.87,33.36
13.99,8.57,13.39,17.31,17.48,20.44,24.83,22.55,31.01,25.31,34.32,33.84,31.75
4.73,5.17,13.06,13.15,12.19,20.87,23.94,24.47,11.01,29.02,29.50,34.29,33.66
14.39,4.88,10.65,12.12,18.00,20.91,25.50,16.65,22.45,28.83,32.84,33.47,33.13
14.53,5.70,5.70,8.26,20.17,21.65,19.22,23.95,25.98,30.00,33.49,30.62,33.66
8.89,4.42,14.46,16.57,13.50,16.84,20.75,15.99,29.86,25.85,30.51,33.76,33.52
14.01,13.81,5.55,6.72,11.51,22.10,24.56,22.24,11.34,28.28,33.45,30.94,34.09
8.01,9.04,13.35,16.79,12.23,20.75,25.08,22.74,22.97,28.04,29.14,35.78,32.67
