terminal,time,cpu,memory
mlterm,01.25,109,11440
mlterm,01.19,118,11436
mlterm,01.27,110,11412
mlterm,01.23,110,11376
mlterm,01.23,111,11364
mlterm,01.20,116,11628
mlterm,01.19,115,11348
mlterm,01.22,113,11364
mlterm,01.16,119,11392
mlterm,01.26,108,11380
mlterm,01.22,113,11360
mlterm,01.21,113,11352
mlterm,01.23,109,11460
mlterm,01.24,110,11412
mlterm,01.23,110,11528
mlterm,01.18,115,11360
mlterm,01.24,110,11368
mlterm,01.22,110,11356
mlterm,01.15,119,11356
mlterm,01.24,111,11496
mlterm,01.21,112,11664
mlterm,01.24,114,11380
mlterm,01.15,122,11484
mlterm,01.22,114,11696
mlterm,01.20,113,11344
mlterm,01.19,117,11364
mlterm,01.33,127,11520
mlterm,01.32,126,11476
mlterm,01.34,126,11408
mlterm,01.29,131,11520
mlterm,01.25,126,11376
mlterm,01.26,126,11360
mlterm,01.20,127,11472
mlterm,01.23,112,11372
mlterm,01.22,111,11404
mlterm,01.15,118,11576
mlterm,01.15,120,11400
mlterm,01.20,115,11496
mlterm,01.15,120,11464
mlterm,01.18,117,11500
mlterm,01.25,110,11372
mlterm,01.17,118,11440
mlterm,01.26,108,11396
mlterm,01.24,110,11424
mlterm,01.28,107,11464
mlterm,01.20,118,11364
mlterm,01.17,119,11468
mlterm,01.12,122,11328
mlterm,01.15,119,11404
mlterm,01.17,118,11416
mlterm,01.21,114,11528
mlterm,01.19,117,11464
mlterm,01.20,112,11564
mlterm,01.23,111,11488
mlterm,01.19,114,11348
mlterm,01.22,113,11516
mlterm,01.22,110,11348
mlterm,01.23,110,11464
mlterm,01.21,115,11672
mlterm,01.17,118,11360
mlterm,01.25,109,11388
mlterm,01.14,121,11640
mlterm,01.19,114,11504
mlterm,01.24,108,11468
mlterm,01.23,112,11448
mlterm,01.19,117,11392
mlterm,01.10,126,11416
mlterm,01.22,110,11644
mlterm,01.26,107,11392
mlterm,01.19,115,11368
mlterm,01.23,113,11460
mlterm,01.22,112,11360
mlterm,01.16,118,11396
mlterm,01.14,120,11372
mlterm,01.25,110,11372
mlterm,01.12,125,11668
mlterm,01.20,114,11424
mlterm,01.22,113,11360
mlterm,01.25,109,11496
mlterm,01.19,116,11428
mlterm,01.18,117,11404
mlterm,01.24,108,11464
mlterm,01.23,110,11336
mlterm,01.27,106,11368
mlterm,01.24,109,11484
mlterm,01.21,113,11416
mlterm,01.25,108,11280
mlterm,01.17,117,11412
mlterm,01.20,115,11524
mlterm,01.19,116,11416
mlterm,01.20,116,11544
